Población,150,Elementos,60,P.Mutación,0.0213,P.Cruzamiento,0.59,Iteraciones,5,Semilla,1
Generación,Tubo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,large,fit
0,DlfRyNaNaB,0.248522,0.13765,0.225342,0.0314503,0.104951,0.230634,0.107523,0.125026,0.208076,0.0410591,0.106458,0.0710979,0.0859103,0.14516,0.0923556,0.0938339,0.123104,0.0976183,0.234094,0.100752,0.0429809,0.195392,0.223953,0.0689396,0.119852,0.210205,0.0375704,0.17718,0.0845799,0.200152,0.183595,0.244412,0.102704,0.159026,0.219873,0.217448,0.212097,0.0391965,0.105128,0.0496332,0.178451,0.035353,0.0842842,0.0642682,0.206095,0.0860581,0.176263,0.126297,0.0959627,0.0409704,0.0643569,0.0242658,0.100486,0.15607,0.135285,0.0353234,0.01649,0.228447,0.179427,0.162338,1.14748,712.947
0,DlfRyNaNaB,0.228742,0.202606,0.0506384,0.218956,0.0800267,0.147791,0.056049,0.14584,0.221587,0.0686144,0.212008,0.132861,0.141316,0.0258328,0.239061,0.241544,0.148412,0.181821,0.108883,0.217892,0.0885121,0.241071,0.179604,0.0242658,0.14655,0.0309477,0.169493,0.079465,0.107966,0.0659239,0.135699,0.0412957,0.172094,0.119645,0.239475,0.202961,0.127775,0.243762,0.0339929,0.178599,0.0556646,0.0161944,0.231758,0.0283163,0.0632039,0.084639,0.0994218,0.127953,0.134102,0.182176,0.168487,0.163491,0.116215,0.0545411,0.13224,0.232674,0.0355008,0.0525306,0.196663,0.179308,1.69614,818.37
0,DlfRyNaNaB,0.179634,0.180994,0.170646,0.00827077,0.100368,0.0500471,0.246275,0.186315,0.0335495,0.212984,0.10093,0.0727536,0.082392,0.0996288,0.143711,0.0892808,0.197491,0.230309,0.0313616,0.0289668,0.0647117,0.185369,0.0300607,0.0997175,0.179634,0.24252,0.00898035,0.0949574,0.198822,0.100457,0.0641204,0.0964653,0.159943,0.0257441,0.0693535,0.196634,0.157518,0.113347,0.185842,0.218513,0.105778,0.0731379,0.0148935,0.220346,0.11728,0.0181162,0.195836,0.175554,0.0192692,0.134102,0.10977,0.095194,0.113702,0.0503428,0.229304,0.0593603,0.111455,0.226052,0.185754,0.140223,1.07109,867.715
0,DlfRyNaNaB,0.201897,0.111219,0.0625238,0.172745,0.202281,0.0746458,0.161628,0.205208,0.203552,0.0318051,0.0579412,0.136734,0.184778,0.113761,0.121507,0.179604,0.0673431,0.0318051,0.0895469,0.0287302,0.170527,0.100131,0.0614299,0.192347,0.249557,0.0404087,0.0512889,0.135699,0.0782528,0.0829242,0.0612821,0.0269267,0.0223145,0.0753849,0.0670474,0.0618438,0.170793,0.0449027,0.0965244,0.0169335,0.222386,0.115772,0.172627,0.163372,0.166773,0.0856442,0.147614,0.0187075,0.165028,0.230989,0.210944,0.101196,0.102142,0.0974114,0.0145387,0.142617,0.169049,0.163313,0.0304746,0.154414,1.79077,913.595
0,DlfRyNaNaB,0.0578525,0.0735519,0.0541863,0.0686144,0.129697,0.0983575,0.0415026,0.0849051,0.129638,0.0964357,0.130022,0.219873,0.0422713,0.232527,0.0649482,0.0887191,0.147555,0.169936,0.0636473,0.182797,0.0161057,0.0990079,0.077011,0.0338451,0.06891,0.227885,0.051555,0.161066,0.144332,0.0711866,0.0585916,0.0975888,0.106665,0.169788,0.238085,0.0625238,0.0674909,0.0431879,0.181674,0.101964,0.178007,0.040793,0.0424783,0.14179,0.192199,0.172981,0.153054,0.22892,0.24521,0.018057,0.0182048,0.0206884,0.0516437,0.0521167,0.0834859,0.104921,0.225993,0.127509,0.0541272,0.205504,1.44991,745.949
0,DlfRyNaNaB,0.244974,0.0188257,0.153202,0.20101,0.131648,0.164466,0.0750597,0.0118778,0.029085,0.173691,0.085999,0.138212,0.0418278,0.219754,0.172449,0.13564,0.114944,0.149684,0.161155,0.213575,0.0260989,0.22484,0.196338,0.0696196,0.228654,0.140932,0.0324851,0.183181,0.153498,0.0123804,0.239652,0.13561,0.108972,0.0576159,0.238676,0.204824,0.185015,0.167837,0.164762,0.14921,0.0386643,0.0182344,0.0495149,0.0194466,0.189745,0.0242067,0.0962879,0.183329,0.144657,0.0133265,0.178333,0.132565,0.0270154,0.0385461,0.0955487,0.241662,0.0280798,0.0451096,0.190543,0.201808,1.20702,888.129
0,DlfRyNaNaB,0.0794354,0.119083,0.153616,0.144391,0.0459966,0.219902,0.0823033,0.0859103,0.0287894,0.154739,0.0464401,0.0487758,0.0943661,0.214728,0.126386,0.0141543,0.0343182,0.180787,0.092947,0.245476,0.117723,0.188858,0.0713344,0.157193,0.0487462,0.0517619,0.22546,0.183655,0.210116,0.212481,0.0958148,0.0242954,0.0914982,0.153409,0.0916756,0.124789,0.0150709,0.0492488,0.0101925,0.0705657,0.173661,0.20574,0.179013,0.117013,0.185399,0.157311,0.0815346,0.0942478,0.0352347,0.11317,0.21461,0.078105,0.087566,0.0824807,0.176588,0.0221371,0.0614595,0.138242,0.0412957,0.0652439,1.81635,897.236
0,DlfRyNaNaB,0.0230832,0.0479775,0.128633,0.176914,0.117812,0.205533,0.0688509,0.17579,0.101639,0.0185892,0.168251,0.105749,0.239061,0.0356782,0.0963174,0.170646,0.232261,0.0185301,0.0823329,0.167393,0.0519098,0.236843,0.083279,0.119349,0.126149,0.0383391,0.200537,0.0287007,0.132388,0.0384869,0.231019,0.210264,0.134043,0.18058,0.0320712,0.239977,0.0143613,0.163727,0.153616,0.214787,0.0706544,0.185724,0.172538,0.0336677,0.085526,0.130288,0.0274885,0.0773954,0.170409,0.0632039,0.244028,0.137946,0.161155,0.0330764,0.0541272,0.157873,0.142765,0.0461444,0.0358556,0.179811,0.883182,740.773
0,DlfRyNaNaB,0.103088,0.186168,0.083959,0.185665,0.249941,0.227146,0.0394035,0.184246,0.0249163,0.0864721,0.180875,0.0855555,0.0585029,0.185547,0.170793,0.208076,0.224721,0.216295,0.247546,0.0457897,0.0869156,0.13292,0.113466,0.22002,0.236873,0.166773,0.0876843,0.180402,0.145219,0.136882,0.160771,0.0213684,0.0125578,0.0103404,0.1438,0.0982688,0.0350869,0.208578,0.0553098,0.106399,0.185369,0.0547185,0.0626717,0.145042,0.0626125,0.0336973,0.148501,0.0707431,0.221528,0.0287302,0.153675,0.0687031,0.140696,0.101521,0.22824,0.102526,0.237996,0.185754,0.126977,0.0172883,1.14245,670.894
0,DlfRyNaNaB,0.191401,0.0922965,0.0243545,0.181615,0.087773,0.0752962,0.176559,0.09206,0.160002,0.217064,0.0731675,0.143593,0.0165787,0.0399652,0.185606,0.215822,0.173484,0.136379,0.0327807,0.052915,0.0127056,0.0789624,0.0318938,0.140045,0.0810911,0.0976479,0.0699448,0.118935,0.191371,0.0507271,0.176647,0.195215,0.0871225,0.0109021,0.203582,0.149891,0.022078,0.100545,0.173987,0.102024,0.182827,0.218158,0.0328694,0.0140656,0.146047,0.0589464,0.0779571,0.21118,0.182768,0.149861,0.0194466,0.127036,0.13221,0.0925626,0.211772,0.157578,0.168813,0.0673135,0.0278137,0.0319233,1.22707,878.63
